Lambda0000,,Lambda0010,,Lambda0030,,Lambda0100,,Lambda0300,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0013736263736263826,1.9999684223822154,0.010383378347731079,4.961090628118511,0.01250953549264995,7.895443278659621,0.04298445456982043,8.41459871779468,0.2225738614106344,8.450607836557568
0.02472527472527472,2.011194265504611,0.011446456920190515,4.854923700062633,0.013359998350617491,7.804697914170968,0.04397666123744924,8.35765517881226,0.2315037214192937,8.369732728938914
0.04670329670329669,2.0339301503094607,0.011659072634682396,4.757069150361834,0.01310485949322722,7.720370122857669,0.04474207780962004,8.259438449239187,0.24085881285693672,8.291343514478664
0.07554945054945057,2.05658709106985,0.011871688349174292,4.672558069639489,0.013785229779601268,7.643978355646208,0.04589020266787623,8.15303332641351,0.25021390429457974,8.218776904663558
0.09752747252747253,2.067828723001136,0.012651279302311191,4.562539620134884,0.014210461208585046,7.552051792743712,0.04674066552584376,8.056950574333476,0.25956899573222275,8.155914635923693
0.12225274725274722,2.102027283061765,0.013359998350617491,4.471499363352568,0.013955322351194774,7.4698589564669655,0.047803744098303194,7.963830593723199,0.2689240871698658,8.101139318079863
0.14835164835164832,2.1247158014399385,0.014210461208585046,4.366224443754042,0.015060924066552586,7.375908226792939,0.04907943838525454,7.883458595166883,0.27827917860750884,8.052833560952859
0.1785714285714286,2.1473569533914354,0.015486155495536363,4.247304645926629,0.015486155495536363,7.288132965350407,0.05035513267220586,7.80012138128202,0.28763427004515185,8.009056496327636
0.20879120879120877,2.181492358216497,0.016336618353503918,4.136099295671011,0.015273539781044482,7.205998944608474,0.05120559553017341,7.720643835041843,0.2969893614827949,7.971748992419239
0.24038461538461542,2.2156119742326634,0.017612312640455235,4.040011655873401,0.01591138692452014,7.116145588577172,0.05248128981712473,7.64056835801838,0.30634445292043794,7.939940615120145
0.2733516483516484,2.2497158014399394,0.018888006927406553,3.946889231404338,0.016336618353503918,7.029556413266059,0.05375698410407605,7.554562450337827,0.31569954435808095,7.915895710681244
0.3076923076923077,2.2838038398383222,0.019738469785374108,3.8650395129013226,0.016336618353503918,6.952460814723867,0.0546074469620436,7.475084904097649,0.325054635795724,7.89573254267244
0.342032967032967,2.3293861311102697,0.020759025214935153,3.771326977997094,0.016761849782487695,6.867057725544171,0.05562800239160463,7.377576893572883,0.33440972723336704,7.884950237703036
0.3791208791208791,2.374936844764431,0.022927705502752416,3.6956890597595446,0.017612312640455235,6.772754102661264,0.05779668267942191,7.298914455700216,0.34376481867101005,7.869315762196011
0.4162087912087912,2.408993305545029,0.023990784075211852,3.613540375864889,0.017612312640455235,6.696251547184781,0.058859761251881346,7.2140970780098685,0.3531199101086531,7.865003017943433
0.45329670329670335,2.4660382720727547,0.026201987505927463,3.53001449608165,0.01846277549842279,6.6001687951047465,0.06098591839680022,7.108510973725763,0.36247500154629614,7.86166070779838
0.4917582417582418,2.53456170266515,0.028951817413355882,3.4243026145319595,0.01867539121291467,6.507651632995328,0.06311207554171909,6.987505749733219,0.37183009298393915,7.862847090155106
0.5288461538461539,2.5916066691928767,0.032495412654887326,3.315023350848543,0.01931323835639033,6.436479133533865,0.06481300125765417,6.896750609809418,0.3811851844215822,7.866297818762721
0.565934065934066,2.6486516357206007,0.03632249551574131,3.2231762948185922,0.019738469785374108,6.358192561142681,0.06651392697358928,6.812222422075563,0.39054027585922524,7.875894630051323
0.603021978021978,2.7171908551218893,0.04014957837659526,3.1398690589348535,0.020418840071748157,6.2336456969956355,0.0687251304043049,6.724841762365214,0.39989536729686825,7.889373177770021
0.6401098901098901,2.8087185802703045,0.044827124095416795,3.0534682236742787,0.021581139310970457,6.080627226281299,0.07110642640661403,6.620201594355699,0.40925045873451127,7.901557813345353
0.6758241758241758,2.8887678413540483,0.05035513267220586,2.9749535577962822,0.022927705502752416,5.94361880033016,0.0736011174566522,6.537858542225495,0.4186055501721543,7.921829399816719
